name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Hero Honda Passion Plus,8000,2003,Individual,1st owner,53500,
Bajaj V15,70000,2018,Individual,1st owner,15000,67187
Honda Dio,50000,2016,Individual,1st owner,8000,
Honda Dream Yuga,35000,2015,Individual,1st owner,39448,56147
Hero Honda Splendor Plus,20000,2006,Individual,1st owner,75000,
Bajaj Pulsar 150,50000,2012,Individual,1st owner,28000,
Bajaj Discover 135,37000,2008,Individual,1st owner,62000,
Honda Livo,69000,2018,Individual,1st owner,12000,
Hero Honda Splendor NXG,28000,2012,Individual,1st owner,49999,
Bajaj Discover 125,25000,2011,Individual,1st owner,70000,57549
Yamaha FZ V 2.0,60000,2018,Individual,1st owner,25000,81508
Yamaha SZ-S,50000,2014,Individual,1st owner,20000,72532
Royal Enfield Thunderbird 350,135000,2016,Individual,1st owner,4500,
Bajaj Discover 125 M,30000,2014,Individual,1st owner,45000,49146
Yamaha FZ S [2012-2016],60000,2014,Individual,1st owner,68000,79432
Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267
Bajaj Xcd,20000,2009,Individual,1st owner,16000,
Bajaj Avenger Street 160,80000,2019,Individual,1st owner,5000,
Royal Enfield Electra 5 S,99000,2006,Individual,2nd owner,36000,
TVS Apache RTR 200 4V,90000,2018,Individual,1st owner,70000,
Hero Honda Splendor Plus,20000,2005,Individual,1st owner,27370,
Hero Glamour 125,50000,2017,Individual,1st owner,8600,61600
TVS Victor GLX,27000,2002,Individual,1st owner,49000,
Honda Grazia,60000,2018,Individual,1st owner,16000,
Bajaj Pulsar 150 [2001-2011],12000,2007,Individual,2nd owner,100000,
Hero Xtreme 2014,50000,2014,Individual,1st owner,10000,72973
Hero Pleasure,20000,2012,Individual,2nd owner,30000,49600
Hero Passion XPro,45000,2018,Individual,1st owner,7000,58900
Hero Super Splendor,40000,2013,Individual,1st owner,68000,
Yamaha FZ S [2012-2016],45000,2016,Individual,2nd owner,20000,79432
Honda Activa [2000-2015],25000,2015,Individual,1st owner,25000,50267
Hero Glamour FI,75000,2019,Individual,1st owner,8900,71150
Hero Honda Passion Plus,25000,2007,Individual,1st owner,70000,
Hero Splendor Plus,25000,2006,Individual,2nd owner,40000,
Hero Xpulse 200,100000,2019,Individual,1st owner,8500,107500
Honda CB Unicorn 150,30000,2012,Individual,1st owner,32000,74295
Bajaj Discover 135,25000,2010,Individual,1st owner,55000,
Hero Honda Splendor,10000,2006,Individual,1st owner,75000,
Hero Honda CD Deluxe,25000,2008,Individual,3rd owner,65000,
Royal Enfield Electra Twinspark,120000,2016,Individual,1st owner,345000,
Honda Dream Neo,42000,2014,Individual,1st owner,21000,53415
Hero Maestro,30000,2013,Individual,1st owner,60000,49412
Honda CBR150 R,77000,2014,Individual,1st owner,38000,132513
Honda CB Unicorn Dazzler,25000,2011,Individual,1st owner,40000,71757
TVS Apache [2006],15000,2006,Individual,1st owner,40000,
Hero Passion XPro,25000,2013,Individual,1st owner,25000,59640
Honda Activa 5G,50000,2018,Individual,1st owner,25000,57957
Honda Activa i,30000,2014,Individual,1st owner,25000,53900
TVS Apache RTR 200 4V,125000,2019,Individual,1st owner,3000,
