name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Honda Shine,37000,2016,Individual,1st owner,45000,
Honda CB Unicorn 150,42000,2013,Individual,1st owner,38000,74295
Royal Enfield Himalayan,119000,2016,Individual,1st owner,19800,
Kawasaki Ninja 650 [2018-2019],300000,2011,Individual,1st owner,12000,589000
Royal Enfield Classic 350,130000,1993,Individual,2nd owner,10000,
Hero Honda Passion Plus,22000,2008,Individual,2nd owner,85000,
Hero Honda Splendor Plus,15000,2007,Individual,1st owner,70000,
Benelli TNT 25,160000,2017,Individual,1st owner,2009,170994
Royal Enfield Thunderbird 500X,185000,2018,Individual,1st owner,1500,198605
Royal Enfield Continental GT [2013 - 2018],110000,2014,Individual,1st owner,12077,208902
KTM RC 200,150000,2017,Individual,1st owner,20000,
Royal Enfield Bullet 350 [2007-2011],150000,1995,Individual,3rd owner,20000,
Bajaj Pulsar 220F,45000,2011,Individual,1st owner,40000,
Bajaj Avenger Street 220,75000,2018,Individual,1st owner,12000,95955
Honda Activa 125 [2016-2017],50000,2017,Individual,1st owner,27000,61545
Honda Shine,30000,2013,Individual,1st owner,93000,
Bajaj Discover 150F,30000,2015,Individual,1st owner,12000,64071
Bajaj Pulsar 150 [2001-2011],22000,2011,Individual,1st owner,36000,
Hero Karizma ZMR,75000,2015,Individual,1st owner,11000,108000
Honda Dream Yuga,45000,2017,Individual,1st owner,26000,56147
Hero Glamour 125,35000,2014,Individual,1st owner,450000,61600
Honda Activa [2000-2015],35000,2012,Individual,1st owner,29000,50267
Bajaj CT 100,25000,2017,Individual,1st owner,45000,
Honda CB Hornet 160R,70000,2017,Individual,1st owner,13000,92210
Hero CD Dawn,10000,2005,Individual,1st owner,48000,
Royal Enfield Classic Gunmetal Grey,180000,2018,Individual,1st owner,5814,148114
Bajaj Discover 100,24000,2014,Individual,1st owner,31000,42859
Honda Shine,42000,2017,Individual,1st owner,25000,
TVS Max DLX,26000,2002,Individual,2nd owner,28000,
Honda Dio,60000,2018,Individual,1st owner,11000,
Bajaj Pulsar 180,72000,2017,Dealer,1st owner,7850,85011
Royal Enfield Thunderbird 350,120000,2015,Individual,1st owner,10000,
Royal Enfield Thunderbird 350,59000,2005,Individual,2nd owner,40000,
Royal Enfield Classic Chrome,185000,2015,Individual,2nd owner,5000,189313
Royal Enfield Classic Gunmetal Grey,140000,2018,Individual,1st owner,14000,148114
KTM 390 Duke,205000,2018,Individual,1st owner,7500,
Hero Pleasure [2005-2015],30000,2013,Individual,1st owner,25000,46779
TVS Victor,18000,2004,Individual,1st owner,46700,54852
Bajaj Pulsar 150,35000,2011,Individual,1st owner,12000,
KTM RC 200,185000,2019,Individual,1st owner,6000,
Kawasaki Ninja 300,300000,2016,Individual,1st owner,9800,360000
Honda Dream Yuga,30000,2015,Individual,2nd owner,46070,56147
Bajaj Pulsar 150,35000,2009,Individual,1st owner,14500,
Bajaj Pulsar 150 [2001-2011],35000,2008,Individual,1st owner,70000,
Hero Honda Passion Plus,25000,2008,Dealer,2nd owner,100000,
Yamaha YZF R15 [2011-2018],80000,2013,Dealer,1st owner,30000,118997
Hero Honda Splendor Plus,20000,2004,Individual,2nd owner,127000,
Hero Karizma ZMR,43000,2012,Individual,2nd owner,63000,108000
Hero Honda Splendor Plus,20000,2010,Individual,2nd owner,30000,
Yo Style,20000,2011,Individual,1st owner,10000,37675
